RECUBRIMIENTO;TEMPERATURA;TIEMPO;REP;HUMEDAD;GRASA
0,5;150;30;1;0,0774;0,022
0,5;150;30;2;0,0718;0,023
0,5;150;30;3;0,07;0,0213
0,5;150;60;1;0,1363;0,0458
0,5;150;60;2;0,1323;0,0456
0,5;150;60;3;0,1311;0,0458
0,5;150;120;1;0,1469;0,0499
0,5;150;120;2;0,1468;0,0519
0,5;150;120;3;0,144;0,0503
0,5;150;180;1;0,1895;0,0562
0,5;150;180;2;0,1866;0,0574
0,5;150;180;3;0,1856;0,0569
0,5;150;240;1;0,2043;0,0614
0,5;150;240;2;0,2013;0,0626
0,5;150;240;3;0,1956;0,0622
0,5;150;300;1;0,2815;0,0725
0,5;150;300;2;0,2749;0,0733
0,5;150;300;3;0,2783;0,072
0,5;170;30;1;0,0959;0,0143
0,5;170;30;2;0,1056;0,0189
0,5;170;30;3;0,1028;0,0149
0,5;170;60;1;0,1409;0,0303
0,5;170;60;2;0,1415;0,0331
0,5;170;60;3;0,1504;0,0294
0,5;170;120;1;0,1992;0,0385
0,5;170;120;2;0,1938;0,0413
0,5;170;120;3;0,2014;0,0402
0,5;170;180;1;0,2725;0,042
0,5;170;180;2;0,2782;0,0448
0,5;170;180;3;0,2733;0,0417
0,5;170;240; ;0,3042;0,0456
0,5;170;240;2;0,2996;0,0476
0,5;170;240;3;0,302;0,0456
0,5;170;300;1;0,3879;0,0504
0,5;170;300;2;0,3965;0,0528
0,5;170;300;3;0,3931;0,0503
0,5;190;30;1;0,1329;0,0053
0,5;190;30;2;0,1368;0,0055
0,5;190;30;3;0,1358;0,0059
0,5;190;60;1;0,207;0,0166
0,5;190;60;2;0,2107;0,0166
0,5;190;60;3;0,2108;0,0155
0,5;190;120;1;0,2701;0,0197
0,5;190;120;2;0,2626;0,0203
0,5;190;120;3;0,2746;0,019
0,5;190;180;1;0,3302;0,0272
0,5;190;180;2;0,3459;0,0252
0,5;190;180;3;0,3315;0,0243
0,5;190;240;1;0,3735;0,0306
0,5;190;240;2;0,3759;0,0291
0,5;190;240;3;0,3747;0,0295
0,5;190;300;1;0,4462;0,0323
0,5;190;300;2;0,4448;0,0319
0,5;190;300;3;0,4509;0,031
0;150;30;1;0,0732;0,0468
0;150;30;2;0,0519;0,0501
0;150;30;3;0,0499;0,0453
0;150;60;1;0,1083;0,0658
0;150;60;2;0,0895;0,0649
0;150;60;3;0,0993;0,0671
0;150;120;1;0,1435;0,0734
0;150;120;2;0,1056;0,0797
0;150;120;3;0,1215;0,0752
0;150;180;1;0,2099;0,1024
0;150;180;2;0,1627;0,1067
0;150;180;3;0,181;0,1069
0;150;240;1;0,2256;0,1187
0;150;240;2;0,1983;0,1153
0;150;240;3;0,2031;0,1124
0;150;300;1;0,2433;0,1264
0;150;300;2;0,2344;0,1256
0;150;300;3;0,2357;0,1276
0;170;30;1;0,0945;0,0381
0;170;30;2;0,1258;0,0402
0;170;30;3;0,1389;0,0358
0;170;60;1;0,1304;0,0492
0;170;60;2;0,1597;0,047
0;170;60;3;0,1835;0,0466
0;170;120;1;0,2238;0,0684
0;170;120;2;0,2183;0,0697
0;170;120;3;0,2344;0,0691
0;170;180;1;0,273;0,0886
0;170;180;2;0,2751;0,0872
0;170;180;3;0,2714;0,0925
0;170;240;1;0,3072;0,0934
0;170;240;2;0,3439;0,0935
0;170;240;3;0,3375;0,0946
0;170;300;1;0,3665;0,1003
0;170;300;2;0,4049;0,0989
0;170;300;3;0,3983;0,1039
0;190;30;1;0,1635;0,0315
0;190;30;2;0,1738;0,0323
0;190;30;3;0,186;0,0305
0;190;60;1;0,2472;0,0431
0;190;60;2;0,2486;0,0443
0;190;60;3;0,2453;0,0428
0;190;120;1;0,3094;0,0541
0;190;120;2;0,3131;0,0556
0;190;120;3;0,301;0,0563
0;190;180;1;0,3882;0,0615
0;190;180;2;0,3911;0,0603
0;190;180;3;0,3914;0,0595
0;190;240;1;0,4356;0,0642
0;190;240;2;0,4339;0,065
0;190;240;3;0,4353;0,0637
0;190;300;1;0,509;0,07
0;190;300;2;0,5083;0,0713
0;190;300;3;0,5126;0,0696
